TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20170311201855,0,0,90,0,80.0,20,50
20170311201856,1000,31,90,20,80.0,20,50
20170311201857,1000,31,90,20,80.0,20,50
20170311201858,1000,31,90,20,80.0,20,50
20170311201859,1000,31,90,20,80.0,20,50
20170311201900,1000,31,90,20,80.0,20,50
20170311201901,1000,31,90,20,80.0,20,50
20170311201902,1000,31,90,20,80.0,20,50
20170311201903,1000,31,90,20,80.0,20,50
20170311201904,1000,31,90,20,80.0,20,50
20170311201905,1000,31,90,20,80.0,20,50
20170311201906,1000,31,90,20,80.0,20,50
20170311201907,1000,31,90,20,80.0,20,50
20170311201908,1000,31,90,20,80.0,20,50
20170311201909,1000,31,90,20,80.0,20,50
20170311201910,1000,31,90,20,80.0,20,50
20170311201911,1000,31,90,20,80.0,20,50
20170311201912,1000,31,90,20,80.0,20,50
20170311201913,1000,31,90,20,80.0,20,50
